V v1 3
V v2 3
V v3 3
V v4 3
V v5 3
V v6 3
V v7 3
V v8 3
V v9 3
V v10 3
V v11 3
V v12 3
V v13 3
V v14 3
V v15 3
E v1 v2 6
E v1 v3 1
E v1 v4 1
E v1 v5 1
E v1 v6 1
E v1 v7 1
E v1 v8 1
E v1 v9 1
E v1 v10 1
E v1 v11 1
E v1 v12 1
E v1 v13 1
E v1 v14 1
E v1 v15 6
E v2 v1 6
E v2 v3 6
E v2 v4 1
E v2 v5 1
E v2 v6 1
E v2 v7 1
E v2 v8 1
E v2 v9 1
E v2 v10 1
E v2 v11 1
E v2 v12 1
E v2 v13 1
E v2 v14 1
E v2 v15 1
E v3 v1 1
E v3 v2 6
E v3 v4 6
E v3 v5 1
E v3 v6 1
E v3 v7 1
E v3 v8 1
E v3 v9 1
E v3 v10 1
E v3 v11 1
E v3 v12 1
E v3 v13 1
E v3 v14 1
E v3 v15 1
E v4 v1 1
E v4 v2 1
E v4 v3 6
E v4 v5 6
E v4 v6 1
E v4 v7 1
E v4 v8 1
E v4 v9 1
E v4 v10 1
E v4 v11 1
E v4 v12 1
E v4 v13 1
E v4 v14 1
E v4 v15 1
E v5 v1 1
E v5 v2 1
E v5 v3 1
E v5 v4 6
E v5 v6 6
E v5 v7 1
E v5 v8 1
E v5 v9 1
E v5 v10 1
E v5 v11 1
E v5 v12 1
E v5 v13 1
E v5 v14 1
E v5 v15 1
E v6 v1 1
E v6 v2 1
E v6 v3 1
E v6 v4 1
E v6 v5 6
E v6 v7 6
E v6 v8 1
E v6 v9 1
E v6 v10 1
E v6 v11 1
E v6 v12 1
E v6 v13 1
E v6 v14 1
E v6 v15 1
E v7 v1 1
E v7 v2 1
E v7 v3 1
E v7 v4 1
E v7 v5 1
E v7 v6 6
E v7 v8 6
E v7 v9 1
E v7 v10 1
E v7 v11 1
E v7 v12 1
E v7 v13 1
E v7 v14 1
E v7 v15 1
E v8 v1 1
E v8 v2 1
E v8 v3 1
E v8 v4 1
E v8 v5 1
E v8 v6 1
E v8 v7 6
E v8 v9 6
E v8 v10 1
E v8 v11 1
E v8 v12 1
E v8 v13 1
E v8 v14 1
E v8 v15 1
E v9 v1 1
E v9 v2 1
E v9 v3 1
E v9 v4 1
E v9 v5 1
E v9 v6 1
E v9 v7 1
E v9 v8 6
E v9 v10 6
E v9 v11 1
E v9 v12 1
E v9 v13 1
E v9 v14 1
E v9 v15 1
E v10 v1 1
E v10 v2 1
E v10 v3 1
E v10 v4 1
E v10 v5 1
E v10 v6 1
E v10 v7 1
E v10 v8 1
E v10 v9 6
E v10 v11 6
E v10 v12 1
E v10 v13 1
E v10 v14 1
E v10 v15 1
E v11 v1 1
E v11 v2 1
E v11 v3 1
E v11 v4 1
E v11 v5 1
E v11 v6 1
E v11 v7 1
E v11 v8 1
E v11 v9 1
E v11 v10 6
E v11 v12 6
E v11 v13 1
E v11 v14 1
E v11 v15 1
E v12 v1 1
E v12 v2 1
E v12 v3 1
E v12 v4 1
E v12 v5 1
E v12 v6 1
E v12 v7 1
E v12 v8 1
E v12 v9 1
E v12 v10 1
E v12 v11 6
E v12 v13 6
E v12 v14 1
E v12 v15 1
E v13 v1 1
E v13 v2 1
E v13 v3 1
E v13 v4 1
E v13 v5 1
E v13 v6 1
E v13 v7 1
E v13 v8 1
E v13 v9 1
E v13 v10 1
E v13 v11 1
E v13 v12 6
E v13 v14 6
E v13 v15 1
E v14 v1 1
E v14 v2 1
E v14 v3 1
E v14 v4 1
E v14 v5 1
E v14 v6 1
E v14 v7 1
E v14 v8 1
E v14 v9 1
E v14 v10 1
E v14 v11 1
E v14 v12 1
E v14 v13 6
E v14 v15 6
E v15 v1 6
E v15 v2 1
E v15 v3 1
E v15 v4 1
E v15 v5 1
E v15 v6 1
E v15 v7 1
E v15 v8 1
E v15 v9 1
E v15 v10 1
E v15 v11 1
E v15 v12 1
E v15 v13 1
E v15 v14 6
